,KH2PO4/K2HPO4 (mM),FeSO4 (μM),Thiamine (μM),(NH4)2SO4 (mM),MgSO4 (mM),Glucose (mM),growth rate,cluster
0,100,0.0025,0.011,0.1,0.1,0.2,1.052616042270865,2
1,100,0.0025,0.011,0.1,0.1,0.2,0.7619116135382851,2
2,100,0.0025,0.011,0.1,0.1,0.2,0.8987896347975471,2
3,100,0.0025,0.011,0.1,0.1,0.2,0.8610889614242545,2
4,100,0.0025,0.011,0.1,0.1,0.2,1.161655799485805,2
5,100,0.0025,0.011,0.1,0.1,0.2,0.8679741078552761,2
6,100,0.0025,0.011,1.0,0.1,0.2,0.2221222456783379,2
7,100,0.0025,0.011,1.0,0.1,0.2,0.2112722394557861,2
8,100,0.0025,0.011,1.0,0.1,0.2,0.392987645885446,2
9,100,0.0025,0.011,1.0,0.1,0.2,0.223997844911467,2
10,100,0.0025,0.011,1.0,0.1,0.2,0.1784899035554859,2
11,100,0.0025,0.011,1.0,0.1,0.2,0.2298816105291853,2
12,100,0.0025,0.011,10.0,0.1,0.2,0.4412386369640044,0
13,100,0.0025,0.011,10.0,0.1,0.2,0.3669085564106069,0
14,100,0.0025,0.011,10.0,0.1,0.2,0.4896253618569926,0
15,100,0.0025,0.011,10.0,0.1,0.2,0.304901716095576,0
16,100,0.0025,0.011,10.0,0.1,0.2,0.4273139244332549,0
17,100,0.0025,0.011,10.0,0.1,0.2,0.2696419816730273,0
18,100,0.0025,0.011,100.0,0.1,0.2,0.2688439550380605,0
19,100,0.0025,0.011,100.0,0.1,0.2,0.2585989585878181,0
20,100,0.0025,0.011,100.0,0.1,0.2,0.2648982166989248,0
21,100,0.0025,0.011,100.0,0.1,0.2,0.2639913644193881,0
22,100,0.0025,0.011,100.0,0.1,0.2,0.2439642578518863,0
23,100,0.0025,0.011,100.0,0.1,0.2,0.2520475035742211,0
24,100,0.0025,0.011,0.1,1.0,0.2,1.624833885212149,2
25,100,0.0025,0.011,0.1,1.0,0.2,1.161655799485805,2
26,100,0.0025,0.011,0.1,1.0,0.2,1.624833885212149,2
27,100,0.0025,0.011,0.1,1.0,0.2,1.471448951634856,2
28,100,0.0025,0.011,0.1,1.0,0.2,1.624833885212149,2
29,100,0.0025,0.011,0.1,1.0,0.2,0.9639869148521614,2
30,100,0.0025,0.011,1.0,1.0,0.2,0.4481205384073433,2
31,100,0.0025,0.011,1.0,1.0,0.2,0.3335929403067651,2
32,100,0.0025,0.011,1.0,1.0,0.2,0.5524056550064618,2
33,100,0.0025,0.011,1.0,1.0,0.2,0.3598790577521314,2
34,100,0.0025,0.011,1.0,1.0,0.2,0.3447305709171473,2
35,100,0.0025,0.011,1.0,1.0,0.2,0.3313469481251832,2
36,100,0.0025,0.011,10.0,1.0,0.2,0.5737825328843648,0
37,100,0.0025,0.011,10.0,1.0,0.2,0.417309171941783,0
38,100,0.0025,0.011,10.0,1.0,0.2,0.417309171941783,0
39,100,0.0025,0.011,10.0,1.0,0.2,0.5509463806706123,0
40,100,0.0025,0.011,10.0,1.0,0.2,0.3646157253341753,0
41,100,0.0025,0.011,10.0,1.0,0.2,0.381412681626627,0
42,100,0.0025,0.011,100.0,1.0,0.2,0.4218718916389048,0
43,100,0.0025,0.011,100.0,1.0,0.2,0.4588405322708325,0
44,100,0.0025,0.011,100.0,1.0,0.2,0.4588405322708325,0
45,100,0.0025,0.011,100.0,1.0,0.2,0.5579512802562365,0
46,100,0.0025,0.011,100.0,1.0,0.2,0.4071753374271162,0
47,100,0.0025,0.011,100.0,1.0,0.2,0.4976367258661816,0
48,100,0.0025,0.011,0.1,10.0,0.2,0.6941062834948097,2
49,100,0.0025,0.011,0.1,10.0,0.2,0.5139832545184055,2
50,100,0.0025,0.011,0.1,10.0,0.2,0.5139832545184055,2
51,100,0.0025,0.011,0.1,10.0,0.2,0.6194336392186497,2
52,100,0.0025,0.011,0.1,10.0,0.2,0.1386068024998766,2
53,100,0.0025,0.011,0.1,10.0,0.2,0.580827899742905,2
54,100,0.0025,0.011,1.0,10.0,0.2,0.4995597758798389,2
55,100,0.0025,0.011,1.0,10.0,0.2,0.417637679162343,2
56,100,0.0025,0.011,1.0,10.0,0.2,0.5510405019654967,2
57,100,0.0025,0.011,1.0,10.0,0.2,0.5449932217153586,2
58,100,0.0025,0.011,1.0,10.0,0.2,0.5505227956121085,2
59,100,0.0025,0.011,1.0,10.0,0.2,0.413876293739095,2
60,100,0.0025,0.011,10.0,10.0,0.2,0.3440637153399171,0
61,100,0.0025,0.011,10.0,10.0,0.2,0.4208600751011613,0
62,100,0.0025,0.011,10.0,10.0,0.2,0.3821442750584709,0
63,100,0.0025,0.011,10.0,10.0,0.2,0.4502448576344326,0
64,100,0.0025,0.011,10.0,10.0,0.2,0.3821442750584709,0
65,100,0.0025,0.011,10.0,10.0,0.2,0.3742005270139495,0
66,100,0.0025,0.011,100.0,10.0,0.2,0.580227070691676,0
67,100,0.0025,0.011,100.0,10.0,0.2,0.6312135859696311,0
68,100,0.0025,0.011,100.0,10.0,0.2,0.568746406247474,0
69,100,0.0025,0.011,100.0,10.0,0.2,0.4845808279038786,0
70,100,0.0025,0.011,100.0,10.0,0.2,0.5567130356451833,0
71,100,0.0025,0.011,100.0,10.0,0.2,0.5307315822049183,0
72,100,0.0025,0.011,0.1,0.1,2.0,1.010262693534784,2
73,100,0.0025,0.011,0.1,0.1,2.0,0.7094384988467249,2
74,100,0.0025,0.011,0.1,0.1,2.0,0.8279712221299101,2
75,100,0.0025,0.011,0.1,0.1,2.0,0.9891865391348613,2
76,100,0.0025,0.011,0.1,0.1,2.0,0.9323879502730081,2
77,100,0.0025,0.011,0.1,0.1,2.0,0.8388056273017908,2
78,100,0.0025,0.011,1.0,0.1,2.0,0.3530805365167959,2
79,100,0.0025,0.011,1.0,0.1,2.0,0.3168995149512261,2
80,100,0.0025,0.011,1.0,0.1,2.0,0.2897092071106153,2
81,100,0.0025,0.011,1.0,0.1,2.0,0.3096627839045588,2
82,100,0.0025,0.011,1.0,0.1,2.0,0.2764074759781748,2
83,100,0.0025,0.011,1.0,0.1,2.0,0.29017108492122,2
84,100,0.0025,0.011,10.0,0.1,2.0,0.5064694705049293,0
85,100,0.0025,0.011,10.0,0.1,2.0,0.3666823917445727,0
86,100,0.0025,0.011,10.0,0.1,2.0,0.4682953816707983,0
87,100,0.0025,0.011,10.0,0.1,2.0,0.4949780623409359,0
88,100,0.0025,0.011,10.0,0.1,2.0,0.5262019440447762,0
89,100,0.0025,0.011,10.0,0.1,2.0,0.4533469693825625,0
90,100,0.0025,0.011,100.0,0.1,2.0,0.2531467348589607,0
91,100,0.0025,0.011,100.0,0.1,2.0,0.2825537247899542,0
92,100,0.0025,0.011,100.0,0.1,2.0,0.2496577586649449,0
93,100,0.0025,0.011,100.0,0.1,2.0,0.2834584342963895,0
94,100,0.0025,0.011,100.0,0.1,2.0,0.2544842139328929,0
95,100,0.0025,0.011,100.0,0.1,2.0,0.2639566875460817,0
96,100,0.0025,0.011,0.1,1.0,2.0,1.711068515387621,2
97,100,0.0025,0.011,0.1,1.0,2.0,0.9634116748192647,2
98,100,0.0025,0.011,0.1,1.0,2.0,1.198816603029799,2
99,100,0.0025,0.011,0.1,1.0,2.0,0.9196593065352262,2
100,100,0.0025,0.011,0.1,1.0,2.0,1.198816603029799,2
101,100,0.0025,0.011,0.1,1.0,2.0,0.9009409389253168,2
102,100,0.0025,0.011,1.0,1.0,2.0,0.5720386217399994,2
103,100,0.0025,0.011,1.0,1.0,2.0,0.5427768041041995,2
104,100,0.0025,0.011,1.0,1.0,2.0,0.4875567625060002,2
105,100,0.0025,0.011,1.0,1.0,2.0,0.5248390053975147,2
106,100,0.0025,0.011,1.0,1.0,2.0,0.5096051731795881,2
107,100,0.0025,0.011,1.0,1.0,2.0,0.4816058185293322,2
108,100,0.0025,0.011,10.0,1.0,2.0,0.6523718647705866,0
109,100,0.0025,0.011,10.0,1.0,2.0,0.5299633541095528,0
110,100,0.0025,0.011,10.0,1.0,2.0,0.573114835430848,0
111,100,0.0025,0.011,10.0,1.0,2.0,0.6529375525400585,0
112,100,0.0025,0.011,10.0,1.0,2.0,0.8256889825180561,0
113,100,0.0025,0.011,10.0,1.0,2.0,0.6529375525400585,0
114,100,0.0025,0.011,100.0,1.0,2.0,0.594032728574529,0
